name,location,primary_type,sub_type,ownership_type,description,lat_long,addr_street,addr_city,addr_zip
Advocate Trinity Hospital,east-side,Hospital,General Hospital,Church-Related,"Trinity Hospital cares for more than 90,000 patients each year with a full range of services including surgery, heart health, diabetes treatment, and cancer care. Our asthma program, a model for health care providers, uses a unique, team approach with medical professionals from various specialties working together. We take advantage of the latest diagnostic services including magnetic resonance imaging, ultrasound, mammography, computed tomography, and cardiac catheterization. In addition Trinity Hospitals offers outpatient rehabilitation services such as cardiac and pulmonary rehabilitation, and physical,occupational, and speech therapy.","41.7267,-87.567169",2320 East 93rd Street,Chicago,60617
"South Shore Hospital, Corp.",east-side,Hospital,General Hospital,Not for Profit Corporation (Not Church-Related),"South Shore Hospital is known for delivering high-quality care since its founding in 1912. Our reputation is based on the dedication of it's physicians and caring professional and support staffs. We believe that it is our commitment to excellence that enables us to deliver extraordinary care to our patients.South Shore Hospital is a non-profit organization dedicated to providing the highest quality of Healthcare possible to the South Shore community. We are committed to providing appropriate care to each individual patient, regardless of race, color, creed, and financial status.We recognize the contribution each employee makes to create an atmosphere of mutual respect and compassion for our patients and fellow employees.","41.7495643,-87.568713",8012 South Crandon  Ave.,Chicago,60617
Aurora Chicago Lakeshore Hospital,edgewater,Hospital,Psychiatric Hospital,Limited Liability Company,"Chicago Lakeshore Hospital provides treatment services to those struggling with alcoholism, chemical dependency and drug use, as well as including their families as an integral part of the multi-disciplinary team. Treatment services include screening, orientation, assessment, detox services, treatment planning, crisis intervention, consultation, inpatient and outpatient services, education, rehab, referral and individual and group counseling. Chicago Lakeshore Hospital specializes in the treatment of dual diagnosis - a combination of alcoholism/drug use/chemical dependency and a behavioral health issue or a mental health disorder, treatment of children, adolescents and adults, as well as comprehensive treatment for the LGBTQ community","41.9703718,-87.6499477",4840 North Marine Drive,Chicago,60640
Methodist Hospital of Chicago,edgewater,Hospital,General Hospital,Church-Related,"Welcome to Methodist Hospital of Chicago, a medical-surgical facility offering on-site physician specialists in cardiology, neurology, geriatric oncology, ophthalmology, general surgery,orthopedics, behavioral medicine, dentistry and podiatry. Also offering internal medicine and family practice, the hospital has 168 licensed beds located amid the Andersonville/Ravenswood neighborhoods of Chicago.","41.9727885,-87.6710533",5025 North Paulina Street,Chicago,60640
Louis A. Weiss Memorial Hospital,edgewater,Hospital,General Hospital,For Profit Corporation,"Weiss Memorial Hospital is a Joint Commission-accredited, 236-bed healthcare facility providing a full range of medical and surgical services to meet the needs of our diverse patient base. Patients receive leading-edge diagnostic and treatment options without leaving the community setting of Weiss.","41.967236,-87.64959",4646 North Marine Drive,Chicago,60640
Presence Resurrection Medical Center,edison-park,Hospital,General Hospital,Church-Related,"Presence Resurrection Medical Center is an award-winning medical center and full service teaching hospital. Presence Resurrection Medical Center is a certified Primary Stroke Center, an accredited Chest Pain Center, and offers a wide range of advanced outpatient and inpatient services, including an open heart surgery program, a CARF-accredited rehabilitation center, and an accredited cancer center","41.987434,-87.814407",7435 West Talcott Avenue,Chicago,60631
St. Bernard Hospital,englewood,Hospital,General Hospital,Church-Related,"Charity, compassion and a commitment to quality guide St. Bernard Hospital’s mission to bring the best medical care to its patients. As a community hospital founded by the Religious Hospitallers of St. Joseph, we’ve met the unique health care needs of Chicago’s Englewood neighborhood for more than a century. We offer a diverse mix of inpatient and outpatient medical services at our 210-bed hospital and Professional Pavilion, as well as throughout the community. Our efforts to make health care as accessible as possible include our Pediatric Mobile Health Unit and a number of conveniently located doctor’s offices.","41.778732,-87.63298",326 West 64th Street,Chicago,60621
Holy Cross Hospital,gage-park,Hospital,General Hospital,Church-Related,"Holy Cross Hospital was sponsored by the Sisters of St. Casimir in 1928. The hospital began with a commitment to providing quality health care to all with compassion. Caring for the physical, emotional, and spiritual needs of community residents has always been our core mission. In recent years, Holy Cross Hospital has expanded and updated many services with new state of the art technology and equipment to better serve our patients. From new babies and their moms being cared for in our newly renovated Family Birth Center or patients receiving life saving care in the new Emergency Room, to the comforting care of Season’s Hospice, Holy Cross is your place for quality care near your home. Our excellent facilities, quality services, and highly skilled medical professionals are a just few of the reasons Holy Cross Hospital is able to deliver health care that you and your family deserve.","41.769085,-87.691109",2701 West 68th Street,Chicago,60629
Holy Cross Hospital,garfield-ridge,Hospital,General Hospital,Church-Related,"Holy Cross Hospital was sponsored by the Sisters of St. Casimir in 1928. The hospital began with a commitment to providing quality health care to all with compassion. Caring for the physical, emotional, and spiritual needs of community residents has always been our core mission. In recent years, Holy Cross Hospital has expanded and updated many services with new state of the art technology and equipment to better serve our patients. From new babies and their moms being cared for in our newly renovated Family Birth Center or patients receiving life saving care in the new Emergency Room, to the comforting care of Season’s Hospice, Holy Cross is your place for quality care near your home. Our excellent facilities, quality services, and highly skilled medical professionals are a just few of the reasons Holy Cross Hospital is able to deliver health care that you and your family deserve.","41.769085,-87.691109",2701 West 68th Street,Chicago,60629
Provident Hospital of Cook County,grand-boulevard,Hospital,General Hospital,County,"Provident Hospital of Cook County is responsible for providing a wide array of healthcare services to the residents of Cook County, particularly those who reside in the Grand Boulevard neighborhood and on the South Side of Chicago.It meets community healthcare needs including primary, same-day surgery, family practice, and critical care services.Deeply committed to prevention, Provident Hospital staff and volunteers work with community residents to promote health and wellness through health fairs, a speaker’s bureau, support groups, health wellness groups for teens, men and seniors and educational programs (diabetes, asthma, smoking cessation, heart disease and others).","41.8021853,-87.61399",500 East 51st Street,Chicago,60615
St. Bernard Hospital,greater-grand-crossing,Hospital,General Hospital,Church-Related,"Charity, compassion and a commitment to quality guide St. Bernard Hospital’s mission to bring the best medical care to its patients. As a community hospital founded by the Religious Hospitallers of St. Joseph, we’ve met the unique health care needs of Chicago’s Englewood neighborhood for more than a century. We offer a diverse mix of inpatient and outpatient medical services at our 210-bed hospital and Professional Pavilion, as well as throughout the community. Our efforts to make health care as accessible as possible include our Pediatric Mobile Health Unit and a number of conveniently located doctor’s offices.","41.778732,-87.63298",326 West 64th Street,Chicago,60621
University Of Chicago Medical Center,greater-grand-crossing,Hospital,General Hospital,Not for Profit Corporation (Not Church-Related),"The University of Chicago Medical Center, also known under the umbrella of University of Chicago Medicine, is an American academic medical center in Hyde Park on the of South Side of Chicago, established in 1899","41.7888352,-87.6048658",5841 South Maryland,Chicago,60637
Advocate Trinity Hospital,hegewisch,Hospital,General Hospital,Church-Related,"Trinity Hospital cares for more than 90,000 patients each year with a full range of services including surgery, heart health, diabetes treatment, and cancer care. Our asthma program, a model for health care providers, uses a unique, team approach with medical professionals from various specialties working together. We take advantage of the latest diagnostic services including magnetic resonance imaging, ultrasound, mammography, computed tomography, and cardiac catheterization. In addition Trinity Hospitals offers outpatient rehabilitation services such as cardiac and pulmonary rehabilitation, and physical,occupational, and speech therapy.","41.7267,-87.567169",2320 East 93rd Street,Chicago,60617
Roseland Community Hospital,hegewisch,Hospital,General Hospital,Not for Profit Corporation (Not Church-Related),"For more than 85 years, Roseland Community Hospital has provided comprehensive healthcare services on Chicago’s far South Side. Our story is one of an institution that is as resilient as the community in which it is anchored. Our history is one of trials resulting in triumph, difficulty generating determination, and anticipation transformed into accomplishment","41.693222,-87.624352",45 West 111th Street,Chicago,60628
"South Shore Hospital, Corp.",hegewisch,Hospital,General Hospital,Not for Profit Corporation (Not Church-Related),"South Shore Hospital is known for delivering high-quality care since its founding in 1912. Our reputation is based on the dedication of it's physicians and caring professional and support staffs. We believe that it is our commitment to excellence that enables us to deliver extraordinary care to our patients.South Shore Hospital is a non-profit organization dedicated to providing the highest quality of Healthcare possible to the South Shore community. We are committed to providing appropriate care to each individual patient, regardless of race, color, creed, and financial status.We recognize the contribution each employee makes to create an atmosphere of mutual respect and compassion for our patients and fellow employees.","41.7495643,-87.568713",8012 South Crandon  Ave.,Chicago,60617
Kindred Chicago Central Hospital,hermosa,Hospital,Rehabilitation Hospital,For Profit Corporation,"Kindred Chicago Central Hospital is a 102-bed transitional care hospital located on Chicago's northwest side near the I-90/94 Kennedy Expressway. Kindred Chicago Central provides intensive long-term acute care to medically complex patients and is certified by Medicare, accredited by The Joint Commission and licensed by the State of Illinois.","41.940239,-87.72831",4058 West Melrose Street,Chicago,60641
John H. Stroger Hospital of Cook County,humboldt-park,Hospital,General Hospital,County,"John H. Stroger, Jr. Hospital of Cook County is a teaching hospital that provides primary, specialty and tertiary healthcare services. The hospital has a staff of more than 300 attending physicians along with more than 400 medical residents and fellows. The hospital serves as the hub for the Cook County Health & Hospitals System for delivery of specialty and sub-specialty care. More than 40% of the hospital’s space is dedicated to an outpatient Specialty Care Center. The Level 1 Trauma Center is one of the most respected in the nation. The hospital’s adult emergency room treats over 110,000 patients annually. While the Pediatrics emergency room treats 45,000 children and adolescents each year with a no wait policy.","41.873814,-87.67421",1901 West Harrison Street - Suite 5650,Chicago,60612
Norwegian American Hospital,humboldt-park,Hospital,General Hospital,Not for Profit Corporation (Not Church-Related),"Norwegian American Hospital is a 200-bed, acute care facility, offering a variety of health care programs and services including: inpatient and same day surgery, outpatient pharmacy, radiology department, All Kids health care program, cardiology department, corporate health program, intensive care unit, telemetry unit, pediatrics unit, emergency department, physician specialty center, and a comprehensive array of women's health care with an incorporated midwife program.","41.900784,-87.699646",1044 North Francisco Avenue,Chicago,60622
RML Specialty Hospital Chicago,humboldt-park,Hospital,,Other Not For Profit (specify below),RML is a nonprofit specialty hospital with locations in Chicago and Hinsdale serving patients with catastrophic or acute illnesses complicated by multiple medical issues.,"41.8753874,-87.7121045",3435 West Van Buren Street,Chicago,60624
